1.457185	2.498673
2.141489	1.246853
1.710700	2.825718
0.786660	1.785544
2.632968	1.566630
1.660557	1.952646
2.745695	1.680549
1.778009	1.782824
3.102965	3.093393
2.502027	2.193093
2.368684	2.745366
1.532083	2.587915
1.373060	1.681124
2.453553	1.285660
1.929966	1.569123
1.872190	0.600705
1.114233	1.650061
2.463731	1.913182
2.001423	2.344111
1.560232	2.141814
-2.402683	-2.863835
-2.195450	-1.713097
-1.830705	-2.005915
-0.803817	-1.793544
-1.510632	-0.880928
-2.647043	-2.519394
-1.128144	-2.399031
-1.985158	-1.465342
-1.554647	-1.122557
-1.252178	-1.465304
-2.386354	-1.602569
-1.842864	-2.663133
-1.291350	-1.596382
-1.977255	-2.116546
-2.599151	-1.900238
-1.765780	-2.415577
-1.418898	-2.548602
-3.061550	-1.480136
-2.201683	-2.063015
-2.418758	-2.802981
3.127619	-2.344434
3.330476	-1.596346
2.342621	-2.542951
2.133769	-2.606262
3.543557	-1.917779
3.075103	-2.633676
2.590518	-1.411069
2.332495	-1.484443
1.957716	-2.681736
2.689700	-2.189588
2.821027	-2.988944
2.856132	-0.700848
2.487687	-1.982929
2.589775	-2.930988
2.713073	-2.802705
2.286160	-1.378565
2.132392	-1.749376
3.006370	-1.860630
1.814526	-2.166238
3.479706	-3.012523
-2.637893	2.223946
-2.439626	2.874108
-1.695655	2.364884
-2.093829	2.749870
-2.262826	2.218038
-2.998661	1.949978
-2.878219	2.660843
-2.119525	2.661734
-2.774478	3.402985
-1.740567	2.323000
-2.911716	2.565107
-1.866351	2.666382
-2.221726	2.393960
-2.271865	3.272272
-2.619834	2.571654
-2.373092	2.641863
-3.205944	1.561566
-3.009828	2.583971
-2.223072	2.234663
-1.811371	2.428412
